number,country_name
1,中国
2,韓国
3,ベトナム
4,フィリピン
5,ブラジル
6,ネパール
7,台湾
8,米国
9,タイ
10,インドネシア
11,ペルー
12,パキスタン
13,ミャンマー
14,スリランカ
15,バングラデシュ
16,インド
17,イギリス
18,カナダ
19,フランス
20,ドイツ
21,ロシア
22,オーストラリア
23,マレーシア
24,カンボジア
25,シンガポール
26,ニュージーランド
27,コロンビア
28,メキシコ
29,イタリア
30,スペイン
31,エジプト
32,トルコ
33,スウェーデン
34,ノルウェー
35,オランダ
36,フィンランド
37,デンマーク
38,ベルギー
39,スイス
40,オーストリア
41,アイルランド
42,ポルトガル
43,南アフリカ
44,チリ
45,アルゼンチン
46,ケニア
47,イラン
48,イラク
49,パラグアイ
50,ベルギー
