,,,人口密度,人口,面積(km2),
110,北海道,初山別村,3.863766457,1080,27952,1.045950603
111,北海道,遠別町,4.265402844,2520,59080,1.059735784
112,北海道,天塩町,8.343704039,2950,35356,1.170017231
113,北海道,猿払村,4.425498737,2611,58999,1.064330844
114,北海道,浜頓別町,8.585871162,3448,40159,1.176909822
115,北海道,中頓別町,4.107801561,1637,39851,1.048248133
116,北海道,枝幸町,6.78080043,7565,111565,1.1447444
117,北海道,豊富町,7.632180376,3974,52069,1.15163699
118,北海道,礼文町,30.73248408,2509,8164,1.668581275
119,北海道,利尻町,26.19607843,2004,7650,1.604250431
120,北海道,利尻富士町,23.27210756,2458,10562,1.549109707
121,北海道,幌延町,4.129942519,2371,57410,1.052843194
122,北海道,美幌町,42.64729363,18697,43841,1.856978748
123,北海道,津別町,6.100725446,4373,71680,1.117174038
124,北海道,斜里町,15.48980505,11418,73713,1.376794945
125,北海道,清里町,9.640977257,3883,40276,1.202182654
126,北海道,小清水町,16.11419011,4623,28689,1.392877657
127,北海道,訓子府町,24.49332286,4677,19095,1.581275129
128,北海道,置戸町,5.262958257,2775,52727,1.094198736
129,北海道,佐呂間町,12.03882057,4875,40494,1.275703619
130,北海道,遠軽町,14.44031671,19241,133245,1.349224584
131,北海道,湧別町,16.35065936,8270,50579,1.399770247
132,北海道,滝上町,3.156906466,2421,76689,1.027570362
133,北海道,興部町,10.0068956,3628,36255,1.206777714
134,北海道,西興部村,3.417943391,1053,30808,1.032165422
135,北海道,雄武町,6.593078759,4199,63688,1.137851809
136,北海道,大空町,19.71425246,6775,34366,1.477886272
137,北海道,豊浦町,16.35912146,3821,23357,1.402067777
138,北海道,壮瞥町,13.37983513,2743,20501,1.328546812
139,北海道,白老町,38.08852551,16212,42564,1.790350373
140,北海道,厚真町,10.95375794,4432,40461,1.252728317
141,北海道,洞爺湖町,46.67440703,8442,18087,1.921309592
142,北海道,安平町,30.94956991,7340,23716,1.675473866
143,北海道,むかわ町,10.75545434,7651,71136,1.238943136
144,北海道,日高町,11.36915742,11279,99207,1.257323377
145,北海道,平取町,6.427216084,4776,74309,1.128661689
146,北海道,新冠町,9.064212665,5309,58571,1.190695003
147,北海道,浦河町,17.39017716,12074,69430,1.429638139
148,北海道,様似町,11.09799616,4043,36430,1.255025847
149,北海道,えりも町,15.40140845,4374,28400,1.372199885
150,北海道,新ひだか町,18.75038125,21517,114755,1.452613441
151,北海道,音更町,93.50671645,43576,46602,2.461229179
152,北海道,士幌町,22.56259887,5848,25919,1.533026996
153,北海道,上士幌町,6.882445299,4778,69423,1.14704193
154,北海道,鹿追町,13.07088959,5266,40288,1.312464101
155,北海道,新得町,5.467978906,5817,106383,1.098793797
156,北海道,清水町,22.60783095,9094,40225,1.535324526
157,北海道,芽室町,35.12924323,18048,51376,1.73750718
158,北海道,中札内村,13.27500171,3884,29258,1.321654222
159,北海道,更別村,17.41096665,3080,17690,1.431935669
160,北海道,大樹町,6.644844116,5420,81567,1.140149339
161,北海道,広尾町,10.70781921,6387,59648,1.234348076
162,北海道,幕別町,53.94439327,25766,47764,2.03388857
163,北海道,池田町,16.92891148,6294,37179,1.420448018
164,北海道,豊頃町,5.630601256,3022,53671,1.101091327
165,北海道,本別町,16.88653007,6618,39191,1.418150488
166,北海道,足寄町,4.661089174,6563,140804,1.075818495
167,北海道,陸別町,3.718180325,2264,60890,1.041355543
168,北海道,浦幌町,6.010824142,4387,72985,1.114876508
169,北海道,釧路町,75.80146009,19105,25204,2.275129236
170,北海道,厚岸町,12.03052278,8892,73912,1.273406088
171,北海道,浜中町,13.01522027,5507,42312,1.307869041
172,北海道,標茶町,6.57649381,7230,109937,1.135554279
173,北海道,弟子屈町,8.981958596,6955,77433,1.188397473
174,北海道,鶴居村,4.473592165,2558,57180,1.066628374
175,北海道,白糠町,9.427909925,7289,77313,1.192992533
176,北海道,別海町,10.91734552,14380,131717,1.248133257
177,北海道,中標津町,33.59761707,23010,68487,1.716829408
178,北海道,標津町,8.040788231,5023,62469,1.165422171
179,北海道,羅臼町,11.87267424,4722,39772,1.271108558
180,青森県,青森市,333.723821,275192,82461,3.476737507
181,青森県,弘前市,321.3773369,168466,52420,3.433084434
182,青森県,八戸市,731.1657285,223415,30556,3.977599081
183,青森県,黒石市,147.1826768,31946,21705,2.798966111
184,青森県,五所川原市,127.2018803,51415,40420,2.709362435
185,青森県,十和田市,83.20540205,60378,72565,2.353245261
186,青森県,三沢市,327.9336628,39152,11939,3.446869615
187,青森県,むつ市,62.60472113,54103,86420,2.139574957
188,青森県,つがる市,122.0035496,30934,25355,2.668006893
189,青森県,平川市,88.34137742,30567,34601,2.396898334
190,青森県,平内町,46.64424893,10126,21709,1.916714532
191,青森県,今別町,18.63175541,2334,12527,1.45031591
192,青森県,蓬田村,31.42008906,2540,8084,1.689259047
193,青森県,外ヶ浜町,23.45201911,5401,23030,1.551407237
194,青森県,鰺ヶ沢町,26.36119855,9044,34308,1.613440551
195,青森県,深浦町,15.02526027,7346,48891,1.365307295
196,青森県,西目屋村,5.141858385,1265,24602,1.089603676
197,青森県,藤崎町,390.8018235,14573,3729,3.616886847
198,青森県,大鰐町,53.01964144,8665,16343,2.015508329
199,青森県,田舎館村,327.7852349,7326,2235,3.444572085
200,青森県,板柳町,303.2473734,12700,4188,3.407811603
201,青森県,鶴田町,260.0473832,12074,4643,3.288340034
202,青森県,中泊町,44.63806971,9657,21634,1.88914417
203,青森県,野辺地町,151.4936337,12374,8168,2.824238943
204,青森県,七戸町,43.16341962,14556,33723,1.870763929
205,青森県,六戸町,124.5321254,10447,8389,2.688684664
206,青森県,横浜町,33.46257319,4229,12638,1.709936818
207,青森県,東北町,50.31546708,16428,32650,1.978747846
208,青森県,六ヶ所村,41.04442157,10367,25258,1.831705916
209,青森県,おいらせ町,337.3123958,24273,7196,3.495117748
210,青森県,大間町,90.57400653,4718,5209,2.429063756
211,青森県,東通村,20.16456725,5955,29532,1.482481333
212,青森県,風間浦村,23.5531241,1636,6946,1.553704767
213,青森県,佐井村,13.23954091,1788,13505,1.319356692
214,青森県,三戸町,59.83266355,9082,15179,2.098219414
215,青森県,五戸町,90.29098891,16042,17767,2.424468696
216,青森県,田子町,20.53062237,4968,24198,1.491671453
217,青森県,南部町,109.7766458,16809,15312,2.594485928
218,青森県,階上町,143.5744681,13496,9400,2.78058587
219,青森県,新郷村,14.57186443,2197,15077,1.358414704
220,岩手県,盛岡市,326.8367796,289731,88647,3.442274555
221,岩手県,宮古市,40.0014295,50369,125918,1.813325675
222,岩手県,大船渡市,107.680382,34728,32251,2.576105686
223,岩手県,花巻市,102.591398,93193,90839,2.537047674
224,岩手県,北上市,212.6499829,93045,43755,3.113727743
225,岩手県,久慈市,52.99599038,33043,62350,2.013210798
226,岩手県,遠野市,30.71055849,25366,82597,1.666283745
227,岩手県,一関市,89.08804381,111932,125642,2.403790925
228,岩手県,陸前高田市,78.73587997,18262,23194,2.304997128
229,岩手県,釜石市,72.8465993,32078,44035,2.242963814
230,岩手県,二戸市,60.68455354,25513,42042,2.116599655
231,岩手県,八幡平市,27.85921373,24023,86230,1.634118323
232,岩手県,奥州市,113.6987818,112937,99330,2.62894888
233,岩手県,滝沢市,304.6092294,55579,18246,3.412406663
234,岩手県,雫石町,25.83850728,15731,60882,1.59735784
235,岩手県,葛巻町,12.95291521,5634,43496,1.30327398
236,岩手県,岩手町,34.08145148,12285,36046,1.723721999
237,岩手県,紫波町,134.5175328,32147,23898,2.739230327
238,岩手県,矢巾町,416.7557932,28056,6732,3.639862148
239,岩手県,西和賀町,8.690794597,5134,59074,1.181504882
240,岩手県,金ケ崎町,86.42078327,15535,17976,2.378518093
241,岩手県,平泉町,114.4029027,7252,6339,2.638139001
242,岩手県,住田町,15.06689762,5045,33484,1.367604825
243,岩手県,大槌町,54.90470013,11004,20042,2.052268811
244,岩手県,山田町,54.48803318,14320,26281,2.04307869
245,岩手県,岩泉町,8.793179894,8726,99236,1.183802412
246,岩手県,田野畑村,19.58512069,3059,15619,1.475588742
247,岩手県,普代村,35.70198105,2487,6966,1.751292361
248,岩手県,軽米町,34.25677325,8421,24582,1.726019529
249,岩手県,野田村,48.71287129,3936,8080,1.946582424
250,岩手県,九戸村,40.12833905,5378,13402,1.817920735
251,岩手県,洋野町,49.81843391,15091,30292,1.971855256
